char,tier,pinyin,meaningVi,missing,source
抔,C,póu,bốc bằng hai tay,"bộ thủ, từ liên quan, câu liên quan",chars/6294.json
抖,A,dǒu,rung,Hán Việt,chars/6296.json
抜,C,bá,biến thể tiếng Nhật của 拔[ba2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/629C.json
択,C,zé,biến thể tiếng Nhật của 擇|择,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/629E.json
抟,B,tuán,vo tròn bằng tay (biến thể của 團|团[tuan2]); (văn học) xoay quanh; lượn vòng,"từ liên quan, câu liên quan, Hán Việt",chars/629F.json
抠,B,kōu,đào ra,câu liên quan,chars/62A0.json
抡,B,lún,lựa chọn,"câu liên quan, Hán Việt",chars/62A1.json
抢,A,qiǎng,cướp,Hán Việt,chars/62A2.json
抦,C,bǐng,biến thể cũ của 秉[bing3]; biến thể của 柄[bing3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/62A6.json
披,C,pī,choàng qua vai,bộ thủ,chars/62AB.json
抬,A,tái,"nâng, nhấc lên",Hán Việt,chars/62AC.json
抴,C,yè,kéo; lôi,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/62B4.json
抵,A,dǐ,ấn vào; hỗ trợ,Hán Việt,chars/62B5.json
抶,C,chì,đánh; đòn roi,"bộ thủ, từ liên quan, câu liên quan",chars/62B6.json
抹,A,mǒ,"Xóa, bôi, phết, lau chùi",Hán Việt,chars/62B9.json
抻,B,chēn,kéo; kéo căng,"câu liên quan, Hán Việt",chars/62BB.json
抿,B,mǐn,"vuốt tóc bằng lược ướt; (miệng, cánh, v.v.) khép nhẹ","từ liên quan, câu liên quan, Hán Việt",chars/62BF.json
拃,C,zhǎ,gang (đơn vị đo chiều dài dựa trên độ rộng của bàn tay khi xoè ra); đo bằng gang tay,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/62C3.json
拄,B,zhǔ,dựa vào,"từ liên quan, câu liên quan",chars/62C4.json
拇,B,mǔ,ngón cái; ngón chân cái,"câu liên quan, Hán Việt",chars/62C7.json
拈,C,niān,"Nhón, nhón lấy, véo",bộ thủ,chars/62C8.json
拊,B,fǔ,vỗ,"câu liên quan, Hán Việt",chars/62CA.json
拎,B,līn,xách,"câu liên quan, Hán Việt",chars/62CE.json
拐,C,guǎi,khập khiễng,bộ thủ,chars/62D0.json
拑,B,qián,cái kìm; kẹp,"từ liên quan, câu liên quan",chars/62D1.json
拓,A,Tuò,họ [Tuo4],Hán Việt,chars/62D3.json
拚,B,pàn,cố gắng; phấn đấu,"câu liên quan, Hán Việt",chars/62DA.json
拝,C,bài,biến thể của chữ 拜[bai4] trong tiếng Nhật,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/62DD.json
拟,A,nǐ,soạn thảo,Hán Việt,chars/62DF.json
拠,C,jù,biến thể của chữ 據|据 trong tiếng Nhật,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/62E0.json
拡,C,kuò,biến thể của chữ 擴|扩 trong tiếng Nhật,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/62E1.json
拣,B,jiǎn,lựa chọn,câu liên quan,chars/62E3.json
拧,A,nǐng,vắt,Hán Việt,chars/62E7.json
拨,C,bō,di chuyển,"bộ thủ, Hán Việt",chars/62E8.json
拪,C,qiān,biến thể cũ của 遷|迁[qian1],"bộ thủ, từ liên quan, câu liên quan",chars/62EA.json
拫,C,hén,kéo; lôi,"bộ thủ, từ liên quan, câu liên quan",chars/62EB.json
拮,B,jié,đối kháng; lao lực,câu liên quan,chars/62EE.json
拯,C,zhěng,nâng; giúp đỡ,bộ thủ,chars/62EF.json
拱,B,gǒng,chắp tay trước ngực,câu liên quan,chars/62F1.json
拴,B,shuān,cột,"câu liên quan, Hán Việt",chars/62F4.json
拶,B,zǎn,(văn học) ép buộc; cưỡng bức,"từ liên quan, câu liên quan, Hán Việt",chars/62F6.json
拷,C,kǎo,đánh; đánh đập,"bộ thủ, câu liên quan",chars/62F7.json
拽,C,zhuāi,"kéo, lôi","bộ thủ, câu liên quan",chars/62FD.json
拿,C,ná,"lấy, giữ, mang",bộ thủ,chars/62FF.json
挈,B,qiè,nâng; nhấc,"câu liên quan, Hán Việt",chars/6308.json
挊,C,nòng,biến thể cũ của 弄[nong4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/630A.json
挌,C,gé,đánh nhau,"bộ thủ, từ liên quan, câu liên quan",chars/630C.json
挍,C,jiào,so sánh; phê bình,"bộ thủ, từ liên quan, câu liên quan",chars/630D.json
挎,B,kuà,mang trên cánh tay,"câu liên quan, Hán Việt",chars/630E.json
挐,C,ná,bắt giữ; lấy,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6310.json
挓,C,zhā,mở ra; mở rộng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6313.json
挔,C,lǚ,biến thể sai của 旅[lu:3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6314.json
挖,C,wā,đào,"bộ thủ, Hán Việt",chars/6316.json
挙,C,jǔ,biến thể tiếng Nhật của 舉|举,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6319.json
挚,C,Zhì,họ [Zhi4],"bộ thủ, Hán Việt",chars/631A.json
挛,B,luán,xoắn; cong,"câu liên quan, Hán Việt",chars/631B.json
挜,C,yà,gắn; vung,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/631C.json
挝,B,wō,vũ khí cổ có đầu giống tay hoặc vuốt,"câu liên quan, Hán Việt",chars/631D.json
挞,B,tà,(dạng kết hợp) đánh roi; đánh đập; (từ mượn) bánh tart,"câu liên quan, Hán Việt",chars/631E.json
挟,C,jiā,biến thể cũ của 夾|夹[jia1],bộ thủ,chars/631F.json
挡,C,dǎng,chặn,"bộ thủ, Hán Việt",chars/6321.json
挢,B,jiǎo,nâng; nhấc,"từ liên quan, câu liên quan",chars/6322.json
挣,C,zhèng,kiếm được,bộ thủ,chars/6323.json
挤,A,jǐ,chật chội,Hán Việt,chars/6324.json
挦,C,xián,nhổ (đặc biệt là tóc hoặc lông); hái,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6326.json
挨,A,āi,gần,Hán Việt,chars/6328.json
挲,B,suō,biến thể của 挲[suo1],"câu liên quan, Hán Việt",chars/6332.json
挶,C,jú,kết cấu để khuân đất,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6336.json
挹,B,yì,(văn học) múc lên; múc ra; (văn học) kéo về phía mình,"từ liên quan, câu liên quan",chars/6339.json
挺,A,tǐng,khá,Hán Việt,chars/633A.json
挼,C,ruó,xoa; vò,"bộ thủ, từ liên quan, câu liên quan",chars/633C.json
挽,A,wǎn,kéo,Hán Việt,chars/633D.json
挿,C,chā,biến thể tiếng Nhật của 插[cha1],"bộ thủ, từ liên quan, câu liên quan",chars/633F.json
捂,C,wǔ,che đậy,"bộ thủ, Hán Việt",chars/6342.json
捃,B,jùn,thu thập; phân loại,"từ liên quan, câu liên quan",chars/6343.json
捅,B,tǒng,đâm,câu liên quan,chars/6345.json
捆,B,kǔn,buộc lại với nhau,"câu liên quan, Hán Việt",chars/6346.json
捋,C,lǚ,vuốt hoặc sắp xếp gì đó bằng ngón tay; xoa,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/634B.json
捌,C,bā,số tám (chữ số chống gian lận của ngân hàng); tách ra,"bộ thủ, từ liên quan, câu liên quan",chars/634C.json
捎,B,shāo,mang theo; đem theo,"từ liên quan, câu liên quan, Hán Việt",chars/634E.json
捏,A,niē,véo,Hán Việt,chars/634F.json
捓,C,yé,biến thể cũ của 揶[ye2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6353.json
捗,C,bù,tiến bộ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6357.json
捘,C,zùn,đẩy,"bộ thủ, từ liên quan, câu liên quan",chars/6358.json
捙,C,yè,biến thể sai của 拽[ye4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6359.json
捜,C,sōu,biến thể tiếng Nhật của 搜[sou1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/635C.json
捡,B,jiǎn,nhặt lên,"từ liên quan, Hán Việt",chars/6361.json
换,A,huàn,đổi,Hán Việt,chars/6362.json
捥,C,wàn,bẻ cổ tay,"bộ thủ, từ liên quan, câu liên quan",chars/6365.json
捧,C,pěng,nâng lên bằng hai tay,bộ thủ,chars/6367.json
捩,B,liè,xé; vặn,"câu liên quan, Hán Việt",chars/6369.json
捭,B,bǎi,mở ra; tách ra,"từ liên quan, câu liên quan, Hán Việt",chars/636D.json
捱,B,ái,biến thể của 挨[ai2],"từ liên quan, câu liên quan",chars/6371.json
捶,A,chuí,đập,Hán Việt,chars/6376.json
捺,B,nà,nhấn xuống mạnh; đè nén,câu liên quan,chars/637A.json
捻,B,niǎn,"vặn, xoay (bằng ngón tay)",câu liên quan,chars/637B.json
捼,C,ruó,chà xát; vo nhàu,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/637C.json
捽,C,zuó,túm lấy; tiếng Đài Loan đọc là [zu2],"bộ thủ, từ liên quan, câu liên quan",chars/637D.json
掀,A,xiān,nhấc lên,Hán Việt,chars/6380.json
掂,B,diān,cầm để ước lượng; ước tính,câu liên quan,chars/6382.json
掇,B,duō,nhặt lên; thu thập,câu liên quan,chars/6387.json
掊,B,póu,nhấc lên bằng hai tay,"từ liên quan, câu liên quan, Hán Việt",chars/638A.json
掌,A,zhǎng,lòng bàn tay; lòng bàn chân,Hán Việt,chars/638C.json
掍,C,hùn,"viền (của váy áo, v.v.); biến thể cũ của 混[hun4]","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/638D.json
掎,B,jǐ,kéo,"từ liên quan, câu liên quan, Hán Việt",chars/638E.json
掐,B,qiā,cấu,"câu liên quan, Hán Việt",chars/6390.json
掔,C,qiān,dắt theo; vững chắc,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6394.json
掖,B,yē,nhét vào (túi); giấu,"câu liên quan, Hán Việt",chars/6396.json
掞,C,shàn,dễ dàng; yên tĩnh,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/639E.json
掣,B,chè,kéo; rút,câu liên quan,chars/63A3.json
掤,C,bīng,vỏ bao tên,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63A4.json
掫,C,zōu,đánh canh đêm; nắm bắt,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63AB.json
掬,C,jū,để cầm trong hai tay; lượng từ cho một hai bàn tay đầy,"bộ thủ, câu liên quan",chars/63AC.json
掭,C,tiàn,,"nghĩa, từ liên quan, câu liên quan, Hán Việt",chars/63AD.json
掮,C,qián,gánh trên vai,"bộ thủ, câu liên quan",chars/63AE.json
掯,C,kèn,đẩy xuống; gây khó dễ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63AF.json
掰,C,bāi,bẻ,"bộ thủ, câu liên quan, Hán Việt",chars/63B0.json
掱,C,pá,biến thể của 扒[pa2] trong 扒手[pa2 shou3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63B1.json
掲,C,jiē,biến thể tiếng Nhật của 揭,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63B2.json
掳,C,lǔ,(dạng kết hợp) bắt giữ (ai đó),"bộ thủ, câu liên quan, Hán Việt",chars/63B3.json
掴,B,guāi,tát; cũng đọc là [guo2],"từ liên quan, câu liên quan, Hán Việt",chars/63B4.json
掸,B,dǎn,phủi đi; phủi bụi,"câu liên quan, Hán Việt",chars/63B8.json
掺,A,chān,trộn với,Hán Việt,chars/63BA.json
掼,B,guàn,quăng; ngã,"từ liên quan, câu liên quan, Hán Việt",chars/63BC.json
掾,B,yuàn,quan chức,"từ liên quan, câu liên quan, Hán Việt",chars/63BE.json
揃,C,jiān,cắt xén,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63C3.json
揄,B,yú,kéo ra; để cho treo,"câu liên quan, Hán Việt",chars/63C4.json
揅,C,yán,nghiền mịn; học tập,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63C5.json
揆,B,kuí,xem xét; ước tính,"từ liên quan, câu liên quan",chars/63C6.json
揉,C,róu,xoa bóp,"bộ thủ, Hán Việt",chars/63C9.json
揌,C,sāi,lắc,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63CC.json
揍,B,zòu,"đánh, đấm","câu liên quan, Hán Việt",chars/63CD.json
揎,B,xuān,xắn tay áo; tát bằng lòng bàn tay,"từ liên quan, câu liên quan, Hán Việt",chars/63CE.json
揓,C,shì,cầm; nắm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63D3.json
揕,C,zhèn,đánh; đâm,"bộ thủ, từ liên quan, câu liên quan",chars/63D5.json
揖,B,yī,chào bằng cách nâng hai tay chắp,câu liên quan,chars/63D6.json
揗,C,shǔn,"đánh, đập bằng tay; vỗ nhẹ","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63D7.json
揘,C,huáng,đánh; đâm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63D8.json
揜,C,yǎn,che đậy; gây bất ngờ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63DC.json
揝,C,zuàn,"cầm trong tay, nắm; vặn, xoắn","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63DD.json
揞,B,ǎn,bôi (thuốc bột lên vết thương); che đậy,"từ liên quan, câu liên quan",chars/63DE.json
揠,B,yà,nhổ bỏ; nhổ lên,"câu liên quan, Hán Việt",chars/63E0.json
握,A,wò,nắm; giữ,Hán Việt,chars/63E1.json
揣,A,chuāi,giấu hoặc mang trong quần áo,Hán Việt,chars/63E3.json
揥,C,tì,loại bỏ; trâm cài tóc bằng ngà,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63E5.json
揦,C,là,biến thể cũ của 攋[la4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63E6.json
揩,B,kāi,lau chùi,"câu liên quan, Hán Việt",chars/63E9.json
揪,A,jiū,nắm chặt,Hán Việt,chars/63EA.json
揫,C,jiū,thu thập; tập hợp,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63EB.json
揰,C,chòng,thò ra; đấm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63F0.json
揲,B,shé,sắp xếp thẻ bói,"từ liên quan, câu liên quan, Hán Việt",chars/63F2.json
援,C,yuán,giúp; hỗ trợ,bộ thủ,chars/63F4.json
揵,C,qián,mang,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63F5.json
揶,B,yé,khoa tay múa chân; làm trò,"câu liên quan, Hán Việt",chars/63F6.json
揸,B,zhā,xoè ngón tay,"từ liên quan, câu liên quan, Hán Việt",chars/63F8.json
揺,C,yáo,biến thể tiếng Nhật của 搖|摇[yao2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63FA.json
揻,C,wēi,(tiếng địa phương) uốn cong (vật dài và mảnh),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/63FB.json
揾,C,wěn,tìm kiếm (tiếng Quảng Đông); tương đương trong tiếng Phổ Thông: 找[zhao3],"bộ thủ, từ liên quan, câu liên quan",chars/63FE.json
揿,B,qìn,biến thể của 撳|揿[qin4],"từ liên quan, câu liên quan, Hán Việt",chars/63FF.json
搀,B,chān,đỡ bằng tay,câu liên quan,chars/6400.json
搂,B,lǒu,ôm,câu liên quan,chars/6402.json
搅,A,jiǎo,quấy rối,Hán Việt,chars/6405.json
搉,C,què,tham khảo; gõ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6409.json
搊,C,chōu,gảy (nhạc cụ có dây),"bộ thủ, từ liên quan, câu liên quan",chars/640A.json
搋,B,chuāi,nhào; chà,"từ liên quan, câu liên quan, Hán Việt",chars/640B.json
搌,B,zhǎn,thấm hút; chặm,"từ liên quan, câu liên quan, Hán Việt",chars/640C.json
搎,C,sūn,chà xát bằng tay; xoa,"bộ thủ, từ liên quan, câu liên quan",chars/640E.json
搐,B,chù,bị co giật; bị chuột rút,"câu liên quan, Hán Việt",chars/6410.json
搒,C,bàng,chèo; thuyền chèo,"bộ thủ, từ liên quan, câu liên quan",chars/6412.json
搔,C,sāo,gãi; biến thể cũ của 騷|骚[sao1],"bộ thủ, câu liên quan",chars/6414.json
搕,C,kè,đánh; cầm trong tay,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6415.json
搘,C,zhī,chống đỡ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6418.json
搛,C,jiān,gắp bằng đũa,"bộ thủ, từ liên quan, câu liên quan",chars/641B.json
搠,B,shuò,bôi; chọc,"từ liên quan, câu liên quan, Hán Việt",chars/6420.json
搡,B,sǎng,đẩy mạnh; xô,"câu liên quan, Hán Việt",chars/6421.json
搢,C,jìn,lắc; cắm vào,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6422.json
搣,C,miè,bóc; rút ra,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6423.json
搦,B,nuò,(văn học) cầm (trong tay); thách thức,"câu liên quan, Hán Việt",chars/6426.json
搧,C,shān,biến thể của 扇[shan1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6427.json
搨,C,tà,thực hiện việc tạo bản dập,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6428.json
搪,B,táng,ngăn chặn; chống đỡ,"câu liên quan, Hán Việt",chars/642A.json
搰,C,hú,đào; trộn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6430.json
搲,C,wā,nắm; chụp,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6432.json
搳,C,huá,dùng trong 搳拳[hua2 quan2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6433.json
搴,B,qiān,nắm; bắt,"từ liên quan, câu liên quan, Hán Việt",chars/6434.json
搷,C,chēn,đập; sàng sảy,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6437.json
携,A,xié,"mang, cầm, dắt",Hán Việt,chars/643A.json
搽,B,chá,"bôi (thuốc mỡ, phấn); thoa","từ liên quan, câu liên quan, Hán Việt",chars/643D.json
搿,C,gé,ôm,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/643F.json
摀,B,wǔ,biến thể của 捂[wu3]; che,"từ liên quan, câu liên quan, Hán Việt",chars/6440.json
摁,B,èn,nhấn (bằng ngón tay hoặc bàn tay),"từ liên quan, câu liên quan, Hán Việt",chars/6441.json
摂,C,shè,biến thể tiếng Nhật của 攝|摄,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6442.json
摅,B,shū,trình bày; lan rộng,"từ liên quan, câu liên quan",chars/6445.json
摈,B,bìn,từ chối; trục xuất,"câu liên quan, Hán Việt",chars/6448.json
摎,C,jiū,bóp cổ; điều tra,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/644E.json
摒,B,bìng,vứt bỏ; loại bỏ,"câu liên quan, Hán Việt",chars/6452.json
摓,C,féng,rộng; may vá,"bộ thủ, từ liên quan, câu liên quan",chars/6453.json
摔,A,shuāi,ngã,Hán Việt,chars/6454.json
摘,C,zhāi,nhặt,bộ thủ,chars/6458.json
摙,C,liǎn,vận chuyển; dời đi mang theo,"bộ thủ, từ liên quan, câu liên quan",chars/6459.json
摛,C,chī,lan truyền (danh tiếng); vung (bút),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/645B.json
摞,C,luò,chất đống; xếp chồng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/645E.json
摠,C,zǒng,chung; chung chung,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6460.json
摦,C,huà,rộng; rộng rãi,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/6466.json
摧,A,cuī,phá hủy; phá hoại,Hán Việt,chars/6467.json
摩,A,mó,cọ xát,Hán Việt,chars/6469.json
